,N,Rooms,Price,Totsp,Livesp,Kitsp,Dist,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New,District,lat,lon
4650,450.0,2.0,8434800.0,56.8,46.0,9.9,20.27,,,1.0,0.0,1.0,16.0,16.0,1.0,5.0,55.576574,37.675828
4651,451.0,1.0,2450000.0,25.0,25.0,,16.94,7.0,0.0,1.0,0.0,1.0,16.0,18.0,1.0,5.0,55.604896,37.653976
4652,452.0,1.0,2753955.0,25.1,,,16.94,3.0,0.0,0.0,0.0,1.0,6.0,18.0,1.0,5.0,55.604896,37.653976
4653,453.0,1.0,2764927.0,25.2,,,16.94,3.0,0.0,0.0,0.0,1.0,9.0,18.0,1.0,5.0,55.604896,37.653976
4654,454.0,1.0,2801074.0,25.6,,,16.94,3.0,0.0,0.0,0.0,1.0,8.0,18.0,1.0,5.0,55.604896,37.653976
4655,455.0,1.0,2830632.0,24.5,,,16.94,3.0,0.0,0.0,0.0,1.0,15.0,18.0,1.0,5.0,55.604896,37.653976
4656,456.0,1.0,2853739.0,24.7,,,16.94,3.0,0.0,0.0,0.0,1.0,16.0,18.0,1.0,5.0,55.604896,37.653976
4657,457.0,1.0,2961480.0,27.6,,,16.94,3.0,0.0,0.0,0.0,1.0,10.0,18.0,1.0,5.0,55.604896,37.653976
4658,458.0,1.0,2979684.0,25.7,,,16.94,3.0,0.0,0.0,0.0,1.0,18.0,18.0,1.0,5.0,55.604896,37.653976
4659,459.0,1.0,3164141.0,28.8,,,16.94,3.0,0.0,0.0,0.0,1.0,15.0,18.0,1.0,5.0,55.604896,37.653976
4660,460.0,1.0,3603600.0,28.6,18.0,,18.61,7.0,1.0,1.0,0.0,1.0,5.0,8.0,1.0,5.0,55.599926,37.72539
4661,461.0,1.0,3660800.0,28.6,15.0,,18.61,10.0,1.0,1.0,0.0,1.0,6.0,19.0,1.0,5.0,55.599926,37.72539
4662,462.0,1.0,3700000.0,39.0,20.0,12.0,19.89,5.0,0.0,0.0,0.0,1.0,10.0,10.0,0.0,5.0,55.578294,37.655841
4663,463.0,1.0,3750000.0,40.0,17.5,11.0,16.94,12.0,0.0,1.0,0.0,1.0,11.0,22.0,1.0,5.0,55.604896,37.653976
4664,464.0,1.0,3750000.0,31.0,20.0,6.0,17.91,7.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,5.0,55.595644,37.647046
4665,465.0,1.0,3786754.0,33.6,,,16.94,3.0,0.0,0.0,0.0,1.0,17.0,18.0,1.0,5.0,55.604896,37.653976
4666,466.0,2.0,3800000.0,40.0,40.0,,5.99,15.0,1.0,1.0,0.0,1.0,2.0,5.0,0.0,5.0,55.703464,37.640003
4667,467.0,1.0,3800000.0,24.0,18.0,3.0,14.71,10.0,1.0,0.0,0.0,0.0,4.0,5.0,0.0,5.0,55.624749,37.648609
4668,468.0,2.0,3800000.0,40.0,40.0,,5.99,,,1.0,0.0,1.0,2.0,5.0,0.0,5.0,55.703464,37.640003
4669,469.0,2.0,3800000.0,40.0,35.0,5.0,5.99,10.0,1.0,1.0,0.0,1.0,2.0,5.0,0.0,5.0,55.703464,37.640003
4670,470.0,2.0,3800000.0,40.0,35.0,,5.99,,,0.0,0.0,1.0,2.0,5.0,0.0,5.0,55.703464,37.640003
